record_id,arandu_id,facility_name,department,locality,address,matched_to_arandu,evidence_type,evidence_category,modality,original_currency,original_price_min,original_price_max,exchange_rate_to_uyu,normalized_price_min_uyu,normalized_price_max_uyu,source_date_text,source_year,source_label,source_url,raw_text,includes,temporal_status,price_confidence,match_confidence,publish_recommendation,notes,review_status
BASE-001,FAC-LEGACY-ELP-0048-2D20813D86F4F23D,La Estancia Hotel Residencial,Canelones,Canelones,María Stagnero de Munar esq. Camino Imperiale s/n,True,commercial_tariff,price_from,Habitación compartida,UYU,85000.0,,1.0,85000,,2026-05-03,2026,Somos Uruguay,https://somosuruguay.com.uy/sociedad/la-estancia-hotel-residencial-una-propuesta-busca-transformar-forma-cuidar-adultos-mayores-n2843/amp,Parte de $85.000 mensuales por una plaza en habitación compartida.,"Alimentación, lavandería, enfermería, atención médica y prestaciones exigidas a un ELEPEM habilitado.",Publicado en 2026,high,high,publish_public_price_dated,Precio de partida; confirmar disponibilidad y condiciones.,pending
BASE-002,FAC-LEGACY-ELP-0048-2D20813D86F4F23D,La Estancia Hotel Residencial,Canelones,Canelones,María Stagnero de Munar esq. Camino Imperiale s/n,True,commercial_tariff,exact_amount,Habitación individual,UYU,135000.0,135000.0,1.0,135000,135000,2026-05-03,2026,Somos Uruguay,https://somosuruguay.com.uy/sociedad/la-estancia-hotel-residencial-una-propuesta-busca-transformar-forma-cuidar-adultos-mayores-n2843/amp,Una habitación individual asciende a $135.000.,"Alimentación, lavandería, enfermería, atención médica y prestaciones exigidas a un ELEPEM habilitado.",Publicado en 2026,high,high,publish_public_price_dated,Confirmar evaluación de ingreso y extras personales.,pending
BASE-003,FAC-LEGACY-MSP24-128-0077C3F2BA4412D2,Saniguet,Montevideo,Montevideo,Av. Millán 3260,True,commercial_tariff,price_range,Habitación cuádruple,UYU,60000.0,80000.0,1.0,60000,80000,2025-06-12,2025,Vitalence,https://app.vitalencecare.com/VitalenceJavaEnvironment/servlet/com.vitalence.buscarcuartos,Entre 60 y 80 mil UY.,No especificado en la publicación de disponibilidad.,Publicado en 2025; confirmar,high,high,publish_public_price_dated,La disponibilidad puede haber cambiado.,pending
BASE-004,FAC-LEGACY-MSP24-061-31302148B63DA6AC,Altos del Parque 1,Montevideo,Montevideo,Américo Ricaldoni 1748,True,commercial_tariff,price_range,Habitación individual,UYU,100000.0,120000.0,1.0,100000,120000,2025-04-01,2025,Vitalence,https://app.vitalencecare.com/VitalenceJavaEnvironment/servlet/com.vitalence.buscarcuartos,Entre 100 y 120 mil.,No especificado en la publicación de disponibilidad.,Publicado en 2025; confirmar,high,medium,publish_public_price_dated,La sucursal 1 se concilió por nombre y padrón.,pending
BASE-005,FAC-LEGACY-MSP24-161-7F284E6E017823E0,Altos del Parque 2,Montevideo,Montevideo,Américo Ricaldoni 1716,True,commercial_tariff,exact_amount,Habitación doble,UYU,100000.0,100000.0,1.0,100000,100000,2025-06-13,2025,Vitalence,https://app.vitalencecare.com/VitalenceJavaEnvironment/servlet/com.vitalence.buscarcuartos,100.000 UY.,No especificado en la publicación de disponibilidad.,Publicado en 2025; confirmar,high,medium,publish_public_price_dated,La sucursal 2 se concilió por nombre y padrón.,pending
BASE-006,FAC-LEGACY-MSP24-038-EF27E2634E365AAF,Altos del Centro,Montevideo,Montevideo,Yi 1363,True,commercial_tariff,price_from,Desde; modalidad no precisada,UYU,50000.0,,1.0,50000,,Sin fecha visible,,Red de Residenciales,https://www.redresidenciales.uy/residencial_hotel/residencial-en-centro/,Desde $50.000.,Habitaciones individuales y compartidas; servicios y actividades descritos en el directorio.,Sin fecha; vigencia no verificada,medium,high,publish_public_price_undated_confirm,El directorio no muestra fecha de actualización.,pending
BASE-007,FAC-LEGACY-MSP24-041-25544A83B648E4BA,Santa Bernardita,Montevideo,Montevideo,19 de Abril 1140,True,commercial_tariff,price_from,Desde; habitación privada con baño compartido,UYU,55000.0,,1.0,55000,,Sin fecha visible,,Red de Residenciales,https://www.redresidenciales.uy/residencial_hotel/montevideo/prado/prado/santa-bernardita-0/,Desde $55.000.,"Cuatro comidas, lavadero, peluquería y manicura; otros servicios descritos en el directorio.",Sin fecha; vigencia no verificada,medium,high,publish_public_price_undated_confirm,El directorio no muestra fecha de actualización.,pending
BASE-008,FAC-LEGACY-MSP24-043-F296BAA525093376,Aguas de Reposo,Montevideo,Montevideo,Avenida Italia 6527,True,commercial_tariff,price_from,Desde; modalidad no precisada,UYU,38000.0,,1.0,38000,,Sin fecha visible,,Red de Residenciales,https://www.redresidenciales.uy/residencial_hotel/montevideo/carrasco/carrasco/residencial-aguas-de-reposo/,Desde $38.000.,"Alimentación, enfermería, fisioterapia y actividades descritas en el directorio.",Sin fecha; vigencia no verificada,medium,high,publish_public_price_undated_confirm,Muy por debajo de referencias sectoriales de 2025; probablemente antiguo.,pending
BASE-009,FAC-LEGACY-MSP24-011-690FB5E8DE8BD869,Manas Home / MH Residencial,Montevideo,Montevideo,Millington Drake 1993,True,commercial_tariff,price_from,Desde; habitaciones individuales y compartidas,UYU,65000.0,,1.0,65000,,Sin fecha visible,,Red de Residenciales,https://www.redresidenciales.uy/residencial_hotel/carrasco/residencial-manas-casa-asistida/,Desde $65.000.,"Atención médica, actividades, alimentación, enfermería y otros servicios descritos.",Sin fecha; vigencia no verificada,medium,high,publish_public_price_undated_confirm,La ficha pública usa el nombre MH Residencial.,pending
BASE-010,FAC-LEGACY-ELP-0092-659F60900D60E0E8,Senescentis II,Canelones,El Pinar,Av. Pérez Butler M257 S2,True,commercial_tariff,exact_amount,Modalidad no precisada,UYU_INFERRED,42500.0,42500.0,1.0,42500,42500,Sin fecha visible,,Red de Residenciales,https://www.redresidenciales.uy/residencial-hotel/canelones/ciudad-de-la-costa/senescentis-residencial/,42500.,"Equipo interdisciplinario, alimentación, enfermería, talleres y otros servicios descritos.",Sin fecha; vigencia no verificada,low,high,publish_public_price_undated_confirm,La página omite símbolo y moneda; UYU se infiere por contexto.,pending
