"department","source_file","action_id","category_group_code","category_group","type","confidence","records","evidence","recommended_action","source_1","source_2","apply_now","requires_human_review"
"Colonia","arandu_colonia_correcciones_existentes.json","DUP-001","SIN_CLASIFICAR","Pendiente de clasificación humana","Duplicado confirmado","Alta","FAC-LEGACY-MSP24-181-FF88636802664DF1 | Arbol De La Vida | FAC-LEGACY-ELP-0105-6E19556541A46F86 | Árbol de la Vida","Mismo establecimiento y dirección Senaqué 85/Juana C. Campomar 131; la fila principal tiene habilitación MSP y certificado social actuales.","Preparar una propuesta de fusión reversible: conservar la fila principal, mover alias y fuentes, y marcar la secundaria como fusionada. Revisar manualmente antes de aplicar.","https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/colonia-establecimientos-larga-estadia-para-personas-mayores-certificado-social","","False","True"
"Colonia","arandu_colonia_correcciones_existentes.json","DUP-002","SIN_CLASIFICAR","Pendiente de clasificación humana","Duplicado confirmado","Alta","FAC-LEGACY-MSP24-180-44F328CE4EEAC11B | Hogar De Ancianos De Nueva Helvecia | FAC-OFFICIAL-ELP-0116-A5139C290958E3E3 | Hogar de Ancianos de la Sociedad de Auxilio Frauenverein","Misma dirección Germán Imhoff 904, coordenadas casi idénticas y mismo teléfono institucional.","Preparar una propuesta de fusión reversible: conservar la fila principal, mover alias y fuentes, y marcar la secundaria como fusionada. Revisar manualmente antes de aplicar.","https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf","","False","True"
"Colonia","arandu_colonia_correcciones_existentes.json","DUP-003","SIN_CLASIFICAR","Pendiente de clasificación humana","Duplicado confirmado","Alta","FAC-LEGACY-MSP24-176-94333E846CB0216E | Hogar De Ancianos De Colonia Valdense | FAC-OFFICIAL-ELP-0122-CF6253FE500D88B8 | Hogar para Ancianos de Colonia","Misma dirección Armand Ugón 1569 y coordenadas prácticamente idénticas.","Preparar una propuesta de fusión reversible: conservar la fila principal, mover alias y fuentes, y marcar la secundaria como fusionada. Revisar manualmente antes de aplicar.","https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf","","False","True"
"Colonia","arandu_colonia_correcciones_existentes.json","DUP-004","SIN_CLASIFICAR","Pendiente de clasificación humana","Duplicado confirmado","Alta","FAC-LEGACY-MSP24-178-4DF69FF5EC0DF23E | Asociación Cristo Salvador Probienestar Del Anciano | FAC-LEGACY-ELP-0112-532F86D862C9BA62 | Hogar De Ancianos De Ombues De Lavalle","Misma institución en Ruta 55 km 22/22,5; fuentes actuales usan Cristo Salvador y el listado social usa Hogar de Ombúes con el mismo teléfono.","Preparar una propuesta de fusión reversible: conservar la fila principal, mover alias y fuentes, y marcar la secundaria como fusionada. Revisar manualmente antes de aplicar.","https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf","","False","True"
"Colonia","arandu_colonia_correcciones_existentes.json","DUP-005","SIN_CLASIFICAR","Pendiente de clasificación humana","Duplicado confirmado","Alta","FAC-LEGACY-ELP-0134-55E0D8C40CBA9D48 | LUZ O SAN BENITO | FAC-LEGACY-ELP-0142-967C18C7FE49F75A | Ruben Alfredo Castillo Roqueta","Dirección y coordenadas exactas: Baltasar Brum 650; una fila es nombre del establecimiento y la otra parece nombre del titular.","Preparar una propuesta de fusión reversible: conservar la fila principal, mover alias y fuentes, y marcar la secundaria como fusionada. Revisar manualmente antes de aplicar.","https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf","","False","True"
"Colonia","arandu_colonia_correcciones_existentes.json","DUP-006","SIN_CLASIFICAR","Pendiente de clasificación humana","Duplicado probable","Media-alta","FAC-LEGACY-ELP-0143-FBE9962E305BDAB6 | Sacramento | FAC-LEGACY-ELP-0144-52DAE88F6FE89D9F | SACRAMENTO","Mismo nombre y número 21203; las calles figuran como Camino Aeropuerto/Camino Laguna y una coordenada es claramente errónea.","Comparar dirección, fuentes oficiales, teléfono público y cronología; no fusionar hasta confirmar que es la misma sede.","https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/colonia-establecimientos-larga-estadia-para-personas-mayores-certificado-social","","False","True"
"Colonia","arandu_colonia_correcciones_existentes.json","REV-001","SIN_CLASIFICAR","Pendiente de clasificación humana","Identidad por resolver","Media","FAC-LEGACY-ELP-0126-902CC21B93773EC3 | INSTITUTO PRO-BIENESTAR SOCIAL DEL ANCIANO DE ROSARIO | FAC-LEGACY-ELP-0125-D9D86460148752FA | Institución Porbienestar social del anciano de Rosario","Misma institución nominal, pero direcciones distintas dentro de Rosario y fuentes administrativas diferentes.","Reconstruir identidad, sede y vigencias mediante fuentes públicas; no fusionar ni crear una nueva ficha hasta resolver el caso.","https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf","","False","True"
"Colonia","arandu_colonia_correcciones_existentes.json","REV-002","SIN_CLASIFICAR","Pendiente de clasificación humana","Identidad por resolver","Media","FAC-LEGACY-ELP-0138-D525586A24CDC068 | Mis Soles — Intendente Suárez 167 | FAC-LEGACY-ELP-0137-94D905872DEF525A | MIS SOLES — Av. Artigas 670","La primera figura en el Certificado Social 2026; un directorio sigue mostrando la segunda dirección.","Reconstruir identidad, sede y vigencias mediante fuentes públicas; no fusionar ni crear una nueva ficha hasta resolver el caso.","https://www.gub.uy/ministerio-desarrollo-social/etiqueta/otros/colonia-establecimientos-larga-estadia-para-personas-mayores-certificado-social","","False","True"
"Colonia","arandu_colonia_correcciones_existentes.json","REV-003","SIN_CLASIFICAR","Pendiente de clasificación humana","Identidad por resolver","Media-baja","FAC-LEGACY-ELP-0140-9F2678684042F0C7 | Residencial Rivera | FAC-LEGACY-ELP-0139-1F9CBEF60AE29C74 | Residencial Adriana Alvarez","Direcciones Rivera 288 y Colonia 288, coordenadas cercanas y una sola fila habilitada; puede existir error de transcripción.","Reconstruir identidad, sede y vigencias mediante fuentes públicas; no fusionar ni crear una nueva ficha hasta resolver el caso.","https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf","","False","True"
"Colonia","arandu_colonia_correcciones_existentes.json","REV-004","SIN_CLASIFICAR","Pendiente de clasificación humana","Identidad por resolver","Media-alta","FAC-LEGACY-ELP-0127-34D43B80D87EAE8F | La Armonia | COL-P15 | La Carmela","Misma dirección Carmen 348 en Arandú/MIDES 2020; el CIEn usa La Carmela.","Reconstruir identidad, sede y vigencias mediante fuentes públicas; no fusionar ni crear una nueva ficha hasta resolver el caso.","https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf","","False","True"
"Colonia","arandu_colonia_correcciones_existentes.json","COR-001","SIN_CLASIFICAR","Pendiente de clasificación humana","Departamento incorrecto","Alta","FAC-LEGACY-ELP-0132-A8BA058557CFDCE7 | LAS ABUELAS","La propia fila dice localidad Montevideo y dirección Caracé 5618, pero está incluida en Colonia; las coordenadas también están fuera de Montevideo.","Retirar del conteo departamental propuesto y preparar corrección de departamento/localidad solo después de validar dirección y vigencia.","https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf","","False","True"
"Colonia","arandu_colonia_correcciones_existentes.json","COR-002","SIN_CLASIFICAR","Pendiente de clasificación humana","Departamento incorrecto","Alta","FAC-LEGACY-ELP-0145-9D10D954419833C2 | Valle Vilcamba","La dirección es Alejandro Fleming 1741, Montevideo. El MSP 2026 lista Valle Vilcabamba habilitado exactamente en esa dirección.","Retirar del conteo departamental propuesto y preparar corrección de departamento/localidad solo después de validar dirección y vigencia.","https://www.gub.uy/ministerio-salud-publica/sites/ministerio-salud-publica/files/2026-06/ELEPEM%20HABILITADOS%20JUNIO%202026.pdf","","False","True"
