candidate_key,department,locality,zone,name,alternative_names,address,address_precision,latitude,longitude,phone,website,classification_code,classification,evidence_tier,confidence,operational_status,administrative_status,review_status,source_1,source_2,source_3,source_4,relationship_or_risk,integration_blocker,recommended_action,source_file,record_origin,public_eligible,ready_for_direct_integration,apply_now,contact_attempted
colonia:colonia-del-sacramento:residencial-renacer,Colonia,Colonia del Sacramento,Colonia del Sacramento,Residencial Renacer,,Andrés Rebufat 296,Pública actual | Media-alta,,,4522 4248 / 098 777 804 / 099 470 235,,P1,Prioridad alta — confirmar señal reciente,B_public,Media-alta,probable_active_unconfirmed,not_confirmed,priority_confirm,https://1122.com.uy/local/residencial-renacer/LOC822630001,https://1122.com.uy/galeria/residencial-renacer/822630001/17125,,,"Sin coincidencia exacta documentada en Arandú | La misma dirección también figura para un kiosco. Puede ser uso mixto, sede compartida o un directorio desactualizado.",Falta confirmar funcionamiento actual y precisión geográfica con una segunda fuente pública.,Buscar una segunda fuente pública de 2025–2026 que confirme funcionamiento y larga estadía; obtener dirección y coordenadas exactas; revisar duplicados. No realizar contacto.,arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:nueva-helvecia:mi-sueno,Colonia,Nueva Helvecia,Nueva Helvecia,Mi Sueño,,Esteban Lazague 1351,Pública actual | Media-alta,,,4554 0709,,P1,Prioridad alta — confirmar señal reciente,B_public,Media-alta,probable_active_unconfirmed,not_confirmed,priority_confirm,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,https://www.waze.com/live-map/directions/uy/departamento-de-colonia/nueva-helvecia/residencial-mi-sueno-hogar-para-ancianos?to=place.ChIJ7Yk365DBo5URqnwJtXCzcw4,,,"Sin coincidencia exacta documentada en Arandú | La evidencia pública actual permite priorizarlo, pero no confirma situación administrativa.",Falta confirmar funcionamiento actual y precisión geográfica con una segunda fuente pública.,Buscar una segunda fuente pública de 2025–2026 que confirme funcionamiento y larga estadía; obtener dirección y coordenadas exactas; revisar duplicados. No realizar contacto.,arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:nueva-helvecia:sweet-home,Colonia,Nueva Helvecia,Nueva Helvecia,Sweet Home,,18 de Julio 1143 esquina Guillermo Tell,Pública actual | Media,,,0914… (parcial),,P1,Prioridad alta — confirmar señal reciente,B_public,Media,probable_active_unconfirmed,not_confirmed,priority_confirm,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,https://1122.com.uy/rubro-zona/ecilda-paullier/residenciales-adulto-mayor/PRD10114177/Z16929,,,Sin coincidencia exacta documentada en Arandú | La fuente actual pertenece a una sola familia de directorios.,Falta confirmar funcionamiento actual y precisión geográfica con una segunda fuente pública.,Buscar una segunda fuente pública de 2025–2026 que confirme funcionamiento y larga estadía; obtener dirección y coordenadas exactas; revisar duplicados. No realizar contacto.,arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:carmelo:otono-dorado,Colonia,Carmelo,Carmelo,Otoño Dorado,,"Calle Defensa, Carmelo; número pendiente",Histórica / pública parcial | Media,,,,,P2,Prioridad media — actualizar señal 2023,B_public_historical,Media,active_as_of_2023_unconfirmed,not_confirmed,priority_update_signal,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,https://elecodigital.com.uy/sociedad/proyecto-pelos-al-viento-vuelve-a-carmelo-ver-el-video/,https://elecodigital.com.uy/sociedad/residencial-otono-dorado-un-lugar-de-disfrute-para-la-tercera-edad/,,Sin coincidencia exacta documentada en Arandú | Debe mantenerse separado de Otoño Dorado II: el relevamiento y la prensa documentan dos sedes.,La última señal localizada es de 2023; falta evidencia pública posterior.,"Buscar una señal pública posterior a 2023 en mapas, directorios, prensa o redes abiertas; confirmar si cada sede continúa operativa. No realizar contacto.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:carmelo:otono-dorado-ii,Colonia,Carmelo,Carmelo,Otoño Dorado II,,19 de Abril entre Solís y Lavalleja,Histórica / pública parcial | Media,,,,,P2,Prioridad media — actualizar señal 2023,B_public_historical,Media,active_as_of_2023_unconfirmed,not_confirmed,priority_update_signal,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,https://elecodigital.com.uy/sociedad/proyecto-pelos-al-viento-vuelve-a-carmelo-ver-el-video/,https://elecodigital.com.uy/sociedad/residencial-otono-dorado-un-lugar-de-disfrute-para-la-tercera-edad/,,Sin coincidencia exacta documentada en Arandú | La evidencia histórica indica dos establecimientos físicos bajo el mismo nombre.,La última señal localizada es de 2023; falta evidencia pública posterior.,"Buscar una señal pública posterior a 2023 en mapas, directorios, prensa o redes abiertas; confirmar si cada sede continúa operativa. No realizar contacto.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:playa-britopolis:monrepos,Colonia,Playa Britópolis,Playa Britópolis,Monrepos,,"Bariloche s/n, Playa Britópolis",Histórica confirmada | Alta,,,,,C1,Cerrado — archivar,A_public_closure,Alta,closed_definitive,closed,archive_closed,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,https://www.ro.com.uy/2026/05/25/msp-dispuso-el-cierre-definitivo-del-residencial-monrepos-tras-incendio-fatal-en-playa-britopolis/,https://www.elpais.com.uy/informacion/sociedad/residencial-de-colonia-donde-murio-hombre-tras-incendio-tenia-cierre-cautelar-y-acumulaba-61-irregularidades,,Sin coincidencia exacta documentada en Arandú | No borrar la trazabilidad: el cierre es información relevante para auditoría.,"El establecimiento fue informado como cerrado definitivamente; corresponde archivar, no publicar como oferta activa.","Archivar como establecimiento cerrado y excluir de la oferta activa; conservar fecha, fuentes y trazabilidad.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:carmelo:patricia-noy,Colonia,Carmelo,Carmelo,Patricia Noy,,19 de Abril 856,Histórica documentada | Baja-media,,,,,H1,Histórico con dirección probable/documentada,A_historical,Baja-media,unknown,not_confirmed,pending_current_signal,https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,,,Sin coincidencia exacta documentada en Arandú | El nombre de una persona genera alto riesgo de falsos positivos.,"La dirección histórica es razonable, pero no se confirmó funcionamiento actual.","Buscar por la dirección histórica en mapas, directorios, prensa y redes públicas; confirmar nombre actual y continuidad; geocodificar solo con respaldo suficiente.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:carmelo:yessica,Colonia,Carmelo,Carmelo,Yessica,,Ignacio Barrios 285,Histórica documentada | Baja-media,,,,,H1,Histórico con dirección probable/documentada,A_historical,Baja-media,unknown,not_confirmed,pending_current_signal,https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,,,Sin coincidencia exacta documentada en Arandú | Usar dirección y no solo nombre para evitar resultados irrelevantes.,"La dirección histórica es razonable, pero no se confirmó funcionamiento actual.","Buscar por la dirección histórica en mapas, directorios, prensa y redes públicas; confirmar nombre actual y continuidad; geocodificar solo con respaldo suficiente.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:colonia-del-sacramento:abuela-elisa,Colonia,Colonia del Sacramento,Colonia del Sacramento,Abuela Elisa,Abuela Elisa / Residencial Inhoa / Las Quintitas 1443,Las Quintitas 1443,Identidad/continuidad en conflicto | Media,,,,,I1,"Identidad, alias o ubicación por resolver",B_conflicting_public,Media,unknown_identity_conflict,not_confirmed,identity_review,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,https://www.govserv.org/UY/Colonia/242605,https://www.yumblin.com/uy/clasificados/galeria/uruguay/colonia/colonia-del-sacramento/casas,,"Sin coincidencia exacta; identidad o continuidad requiere revisión | Puede tratarse de cambio de nombre, sustitución de operador o cese de actividad.","La identidad, el alias, el traslado o la ubicación no están resueltos.","No crear, fusionar ni publicar. Reconstruir identidad, alias, traslado o continuidad mediante cronología y fuentes públicas nominales.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
colonia:colonia-valdense:residencial-diamante,Colonia,Colonia Valdense,Colonia Valdense,Residencial Diamante,Residencial Diamante — continuidad y nombre actual,Armand Ugón 1446,Identidad/continuidad no resuelta | Media,,,,,I1,"Identidad, alias o ubicación por resolver",A_historical_conflict,Media,unknown_identity_conflict,not_confirmed,identity_review,https://www.gub.uy/ministerio-desarrollo-social/sites/ministerio-desarrollo-social/files/2020-06/elepem_Colonia.pdf,https://cien.ei.udelar.edu.uy/wp-content/uploads/2025/11/Mapeo-Elepem-Colonia-2022.pdf,,,Sin coincidencia exacta; identidad o continuidad requiere revisión | No confundir con residenciales llamados Diamante en Montevideo.,"La identidad, el alias, el traslado o la ubicación no están resueltos.","No crear, fusionar ni publicar. Reconstruir identidad, alias, traslado o continuidad mediante cronología y fuentes públicas nominales.",arandu_colonia_candidatos_consolidados_63.json,candidate_discovery_colonia,False,False,False,False
