imageId,codigo,sourceRecordId,residencial,position,role,status,localPath,sha256,bytes,format,width,height,error
IMG-0001,FAC-LEGACY-ELP-0273-AC38A7DF4D54866F,239,Abras,1,Principal,OK,imagenes/239__abras/IMG-0001__01__principal.jpg,42f7da83cbffb6d9bd25fd06a5940a931c18091c6cd2035f13c44cd5263965b2,139122,JPEG,1024,768,
IMG-0002,FAC-LEGACY-ELP-0274-58EC6EB5835F0A9C,240,Abuela Chachi,1,Principal,OK,imagenes/240__abuela-chachi/IMG-0002__01__principal.jpg,4f5552dccb4e4605ccd3a7a59d0282fa7f69de57d2dace49b9aae5fd590931f7,147361,JPEG,1200,1600,
IMG-0003,FAC-LEGACY-MSP24-043-F296BAA525093376,610,Aguas de Reposo,1,Principal,OK,imagenes/610__aguas-de-reposo/IMG-0003__01__principal.jpg,caf92de6d84c4afbe2e580f23041b2b1dadec975cfc217224141ea58a8b873c6,212241,JPEG,1920,783,
IMG-0004,FAC-LEGACY-MSP24-043-F296BAA525093376,610,Aguas de Reposo,2,Complementaria,OK,imagenes/610__aguas-de-reposo/IMG-0004__02__complementaria.jpg,505ed23f5161cb45d6d5867aba98f87abdf662447d886e41b828d2c3fcd61ffb,44961,JPEG,880,520,
IMG-0005,FAC-LEGACY-MSP24-043-F296BAA525093376,610,Aguas de Reposo,3,Complementaria,OK,imagenes/610__aguas-de-reposo/IMG-0005__03__complementaria.jpg,e32c3b7d1e1e748a86f16da08021f5f072ac2db801b1a9579593d0ba211609f0,14876,JPEG,880,520,
IMG-0006,FAC-LEGACY-MSP24-038-EF27E2634E365AAF,605,Altos del Centro,1,Principal,OK,imagenes/605__altos-del-centro/IMG-0006__01__principal.jpg,faebd40d4c59b7eecc3773ea88ce537402e585634cd408893bb325a5f95ab64f,83917,JPEG,675,900,
IMG-0007,FAC-LEGACY-MSP24-038-EF27E2634E365AAF,605,Altos del Centro,2,Complementaria,OK,imagenes/605__altos-del-centro/IMG-0007__02__complementaria.jpg,d271be1edd3ae85dc59fe12e9a8ff316d13cab83d7de534ec94b4e5657ae803f,124070,JPEG,1200,822,
IMG-0008,FAC-LEGACY-ELP-0209-81AF5CF9D42A5749,186,Artemisa,1,Principal,OK,imagenes/186__artemisa/IMG-0008__01__principal.jpg,3eb8934c17ee76ca2419302e95dd5e33734f7b2309a48837e73416344272d112,138124,JPEG,1920,783,
IMG-0009,FAC-LEGACY-ELP-0209-81AF5CF9D42A5749,186,Artemisa,2,Complementaria,OK,imagenes/186__artemisa/IMG-0009__02__complementaria.jpg,ae570af346c9328ce3062dd90d76fe87998def9ff1b3916ef46a441551f50195,24048,JPEG,880,520,
IMG-0010,FAC-LEGACY-ELP-0209-81AF5CF9D42A5749,186,Artemisa,3,Complementaria,OK,imagenes/186__artemisa/IMG-0010__03__complementaria.jpg,128153056e24568b675a3931f376081a14c55449f1b3000cdde2653bfaf2f7f9,39509,JPEG,880,520,
