arandu_id,facility_name,department,locality,address,price_status,price_status_label,price_kind,modalities,original_currency,original_price_min,original_price_max,exchange_rate_to_uyu,conversion_date,normalization_method,normalized_price_min_uyu,normalized_price_max_uyu,display_price_uyu,source_date_text,source_year_latest,source_label,source_url,price_confidence,price_confidence_label,match_confidence,include_in_main_price_filter,display_mode,review_status,record_ids,notes,warning
FAC-LEGACY-ELP-0006-6E3F1CFA89335BAF,Altos del Pinar,Canelones,El Pinar,Rambla Costanera M244 S2,historical,Referencia histórica,range_by_modality,Habitación individual | Habitación compartida,UYU,35000.0,80000.0,1.0,,original_uyu,35000,80000,$35.000–$80.000,2012-05-15,2012,El País,https://www.elpais.com.uy/informacion/residencias-vip-nuevas-tendencias-para-3%C2%AA-edad,high,alta,high,False,historical_reference,pending,BASE-020 | BASE-021,Referencia muy antigua.,Referencia histórica expresada en pesos uruguayos para facilitar la lectura. No es una tarifa vigente y no fue actualizada por IPC.
FAC-LEGACY-ELP-0048-2D20813D86F4F23D,La Estancia Hotel Residencial,Canelones,Canelones,María Stagnero de Munar esq. Camino Imperiale s/n,current_dated,Precio público fechado,range_by_modality,Habitación compartida | Habitación individual,UYU,85000.0,135000.0,1.0,,original_uyu,85000,135000,$85.000–$135.000,2026-05-03,2026,Somos Uruguay,https://somosuruguay.com.uy/sociedad/la-estancia-hotel-residencial-una-propuesta-busca-transformar-forma-cuidar-adultos-mayores-n2843/amp,high,alta,high,True,public_price,pending,BASE-001 | BASE-002,Precio de partida; confirmar disponibilidad y condiciones. | Confirmar evaluación de ingreso y extras personales.,"Precio público orientativo. Puede variar según habitación, autonomía, dependencia, servicios, insumos y disponibilidad. Confirmar con el establecimiento."
FAC-LEGACY-ELP-0092-659F60900D60E0E8,Senescentis II,Canelones,El Pinar,Av. Pérez Butler M257 S2,current_undated,Precio público sin fecha,exact,Modalidad no precisada,UYU_INFERRED,42500.0,42500.0,1.0,,original_uyu_inferred,42500,42500,$42.500,Sin fecha visible,,Red de Residenciales,https://www.redresidenciales.uy/residencial-hotel/canelones/ciudad-de-la-costa/senescentis-residencial/,low,baja,high,True,public_price_confirm,pending,BASE-010,La página omite símbolo y moneda; UYU se infiere por contexto.,Precio público sin fecha visible. Puede estar desactualizado; confirmar antes de usar.
FAC-LEGACY-ELP-0225-1E6FEE63E2AC3E6B,La Candelaria,Maldonado,Punta del Este,Martiniano Chiossi y Fort Wayne,historical,Referencia histórica,range,Según habitación compartida o individual,UYU,80000.0,120000.0,1.0,,original_uyu,80000,120000,$80.000–$120.000,2020-11-16,2020,InfoNegocios,https://infonegocios.biz/nota-principal/en-la-mansa-se-agita-la-candelaria-un-residencial-para-potenciar-el-tiempo-de-familia,high,alta,high,False,historical_reference,pending,BASE-014,Referencia de 2020.,Referencia histórica expresada en pesos uruguayos para facilitar la lectura. No es una tarifa vigente y no fue actualizada por IPC.
FAC-LEGACY-MSP24-043-F296BAA525093376,Aguas de Reposo,Montevideo,Montevideo,Avenida Italia 6527,current_undated,Precio público sin fecha,from,Desde; modalidad no precisada,UYU,38000.0,,1.0,,original_uyu,38000,,Desde $38.000,Sin fecha visible,,Red de Residenciales,https://www.redresidenciales.uy/residencial_hotel/montevideo/carrasco/carrasco/residencial-aguas-de-reposo/,medium,media,high,True,public_price_confirm,pending,BASE-008,Muy por debajo de referencias sectoriales de 2025; probablemente antiguo.,Precio público sin fecha visible. Puede estar desactualizado; confirmar antes de usar.
FAC-LEGACY-MSP24-038-EF27E2634E365AAF,Altos del Centro,Montevideo,Montevideo,Yi 1363,current_undated,Precio público sin fecha,from,Desde; modalidad no precisada,UYU,50000.0,,1.0,,original_uyu,50000,,Desde $50.000,Sin fecha visible,,Red de Residenciales,https://www.redresidenciales.uy/residencial_hotel/residencial-en-centro/,medium,media,high,True,public_price_confirm,pending,BASE-006,El directorio no muestra fecha de actualización.,Precio público sin fecha visible. Puede estar desactualizado; confirmar antes de usar.
FAC-LEGACY-MSP24-061-31302148B63DA6AC,Altos del Parque 1,Montevideo,Montevideo,Américo Ricaldoni 1748,current_dated,Precio público fechado,range,Habitación individual,UYU,100000.0,120000.0,1.0,,original_uyu,100000,120000,$100.000–$120.000,2025-04-01,2025,Vitalence,https://app.vitalencecare.com/VitalenceJavaEnvironment/servlet/com.vitalence.buscarcuartos,high,alta,medium,True,public_price,pending,BASE-004,La sucursal 1 se concilió por nombre y padrón.,"Precio público orientativo. Puede variar según habitación, autonomía, dependencia, servicios, insumos y disponibilidad. Confirmar con el establecimiento."
FAC-LEGACY-MSP24-161-7F284E6E017823E0,Altos del Parque 2,Montevideo,Montevideo,Américo Ricaldoni 1716,current_dated,Precio público fechado,exact,Habitación doble,UYU,100000.0,100000.0,1.0,,original_uyu,100000,100000,$100.000,2025-06-13,2025,Vitalence,https://app.vitalencecare.com/VitalenceJavaEnvironment/servlet/com.vitalence.buscarcuartos,high,alta,medium,True,public_price,pending,BASE-005,La sucursal 2 se concilió por nombre y padrón.,"Precio público orientativo. Puede variar según habitación, autonomía, dependencia, servicios, insumos y disponibilidad. Confirmar con el establecimiento."
FAC-LEGACY-ELP-0427-C438EEBBD66E1884,Hogar Amelia Ruano de Schiaffino,Montevideo,Montevideo,Pedro Trapani 1197,historical,Referencia histórica,exact,Habitación compartida para residentes privados,UYU,35000.0,35000.0,1.0,,original_uyu,35000,35000,$35.000,2019-07-21,2019,El Observador,https://www.elobservador.com.uy/nota/residenciales-un-negocio-que-crece-con-tarifas-de-35-000-a-120-000-al-mes-201972132159,high,alta,high,False,historical_reference,pending,BASE-025,Referencia de 2019.,Referencia histórica expresada en pesos uruguayos para facilitar la lectura. No es una tarifa vigente y no fue actualizada por IPC.
FAC-LEGACY-ELP-0448-898D6DD9A7C54857,Hotel Continental Senior,Montevideo,Montevideo,Paraguay 1372,historical,Referencia histórica,range_by_modality,"Habitación individual, persona autoválida | Habitación compartida, persona autoválida",UYU,35000.0,58000.0,1.0,,original_uyu,35000,58000,$35.000–$58.000,2016-09-11,2016,El País,https://www.elpais.com.uy/negocios/finanzas/hoteles-para-jubilados-otra-opcion-al-manejar-el-retiro,high,alta,high,False,historical_reference,pending,NEW-001 | NEW-002,Fuente primaria; reemplaza como referencia preferida a la reproducción secundaria que indicaba $42.000. | Fuente primaria; modalidad compartida.,Referencia histórica expresada en pesos uruguayos para facilitar la lectura. No es una tarifa vigente y no fue actualizada por IPC.
