"source_path","sha256","size_bytes","record_type","record_key","status","reason","supabase_target","already_applied_evidence","destination_path"
"Cambios/Fotos, precios y dscripciones/paquete-integracion-residenciales-59.zip","fa70f4ad26c07b28e0eb3176f38f7989d4577df5406d44b1492606519da9813b","22477","zip","file:Cambios/Fotos, precios y dscripciones/paquete-integracion-residenciales-59.zip","fuente_mixta_pendiente","Contiene descripciones combinables y campos de precios/imágenes que requieren tratamiento separado.","public.elepem (solo descripción y fuentes)","59/59 códigos existentes; 59 descripciones faltantes en el snapshot vivo.","Cambios/02_pendiente_revision/residenciales/paquete_enriquecido_59_original/paquete-integracion-residenciales-59.zip"
"Cambios/Fotos, precios y dscripciones/residenciales-enriquecidos.json","89d4a3b985279f4e97c7422499b31a7f69146ef4e07b7a2073a9b83b5201d58d","224672","json","file:Cambios/Fotos, precios y dscripciones/residenciales-enriquecidos.json","fuente_mixta_pendiente","Contiene descripciones combinables y campos de precios/imágenes que requieren tratamiento separado.","public.elepem (solo descripción y fuentes)","59/59 códigos existentes; 59 descripciones faltantes en el snapshot vivo.","Cambios/02_pendiente_revision/residenciales/paquete_enriquecido_59_original/residenciales-enriquecidos.json"
"Cambios/Imagenes/imagenes_para_importar_staging_143.json","f44bfb47502db30734bf487ce1b3c337aa8fca736f8e9f76b2a0255bf3ad3672","124237","json","file:Cambios/Imagenes/imagenes_para_importar_staging_143.json","pendiente_derechos","Imágenes de prototipo; falta autorización pública, privacidad y deduplicación visual.","Supabase Storage, solo tras autorización futura","143 imágenes; 0 hashes coincidentes con el lote de 144 publicado previamente.","Cambios/02_pendiente_revision/imagenes_derechos/imagenes_para_importar_staging_143.json"
"Cambios/Imagenes/manifest_imagenes_159.xlsx","b9f7e3594fb5707fd79b8f0f6c7393036b6a753c5827a3a83b87e6b93b44d9e3","41662","xlsx","file:Cambios/Imagenes/manifest_imagenes_159.xlsx","pendiente_derechos","Imágenes de prototipo; falta autorización pública, privacidad y deduplicación visual.","Supabase Storage, solo tras autorización futura","143 imágenes; 0 hashes coincidentes con el lote de 144 publicado previamente.","Cambios/02_pendiente_revision/imagenes_derechos/manifest_imagenes_159_referencia.xlsx"
"Cambios/Imagenes/mascerca_imagenes_completas_159.zip","78799e43e64493acf8dedbab48d5d7fcde6564772355e5c34c99c36f447fc412","17742350","zip","file:Cambios/Imagenes/mascerca_imagenes_completas_159.zip","reempacado_y_eliminado","Contenedor mixto 159 reemplazado por paquete limpio de 143.","Ninguno","159 = 143 conservadas + 16 descartadas.",""
"Cambios/Imagenes/NO_SUBIR_imagenes_historicas_16.json","3902fdf30d4c42fa94df06c110b9292b36799cf086c9be4ccf46b73796a8fe2c","41896","json","file:Cambios/Imagenes/NO_SUBIR_imagenes_historicas_16.json","descartado","Manifiesto NO_SUBIR consumido en deleted_manifest.json.","Ninguno","16 descartes explícitos.",""
"Cambios/Plan integrado de cambios priorizados.md","9d4de5210bcaa755b2750ddfd95340d95dbcf38ea8d0a532e945ae13a7006dfb","7355","md","file:Cambios/Plan integrado de cambios priorizados.md","referencia","Documento de referencia conservado sin cambios.","","","Cambios/Plan integrado de cambios priorizados.md"
"Cambios/Precios residenciales/arandu_precios_evidencia_final.csv","4b8c7b7ec212d7f895c7b40edfe385e57d7a10f747e399330810b16d225b34cb","18244","csv","file:Cambios/Precios residenciales/arandu_precios_evidencia_final.csv","archivado_parcialmente_aplicado","Paquete de precios aplicado; cinco indicios sin conciliar fueron separados.","public.elepem (sin nueva escritura)","21/21 códigos presentes en el resultado de publicación; priced_elepem=21.","data/discovery/archivo_importado/2026-08-16/precios_aplicados_21/arandu_precios_evidencia_final.csv"
"Cambios/Precios residenciales/arandu_precios_final_para_app.csv","ed8e94494e77d3d178d25a795d5227630884079bcc613fe2c4e8fd4579913fd0","13280","csv","file:Cambios/Precios residenciales/arandu_precios_final_para_app.csv","archivado_ya_aplicado","Paquete de precios aplicado; cinco indicios sin conciliar fueron separados.","public.elepem (sin nueva escritura)","21/21 códigos presentes en el resultado de publicación; priced_elepem=21.","data/discovery/archivo_importado/2026-08-16/precios_aplicados_21/arandu_precios_final_para_app.csv"
"Cambios/Precios residenciales/arandu_precios_final_para_app.json","7e9aa7ba952bb5c6d8083d921c4fd6e6a0516b1e7898d9352e0b40ef2eb195af","74561","json","file:Cambios/Precios residenciales/arandu_precios_final_para_app.json","archivado_ya_aplicado","Paquete de precios aplicado; cinco indicios sin conciliar fueron separados.","public.elepem (sin nueva escritura)","21/21 códigos presentes en el resultado de publicación; priced_elepem=21.","data/discovery/archivo_importado/2026-08-16/precios_aplicados_21/arandu_precios_final_para_app.json"
