table_name,column_name,data_type,nullable,default_value,purpose,allowed_values,source_of_truth,written_by,read_by,publicly_exposed,retention_rule,index_or_constraint,migration_origin
elepem_core.source_catalog,id,bigint,no,,Surrogate row identifier.,valid identity or referenced ID,reviewed source policy,authorized import administrator,imports and auditors,no,permanent while referenced,primary key; identity,20260803042525_normalized_elepem_core_model
elepem_core.source_catalog,source_key,text,no,,Stable source identifier used by imports and audits.,CHECK/FK/length rules in migration,reviewed source policy,authorized import administrator,imports and auditors,no,permanent while referenced,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.source_catalog,display_name,text,no,,Human-readable source name.,CHECK/FK/length rules in migration,reviewed source policy,authorized import administrator,imports and auditors,no,permanent while referenced,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.source_catalog,source_type,text,no,,Classifies the public or official source.,official|openstreetmap|public_directory|facility_website|news|social_public_url|manual_referral|legacy_app|other,reviewed source policy,authorized import administrator,imports and auditors,no,permanent while referenced,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.source_catalog,source_channel,text,no,,Canonical user-facing provenance channel.,official_sources|public_maps|public_social_sources|other_public_sources|manual_editorial,reviewed source policy,authorized import administrator,filters imports and auditors,no,permanent while referenced,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.source_catalog,base_url,text,yes,,Canonical public landing URL for the source.,http(s) URL within CHECK length,reviewed source policy,authorized import administrator,imports and auditors,no,permanent while referenced,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.source_catalog,authority_level,text,no,'lead',"States whether the source supports evidence A, B, or only a lead.",official_nominal|independent_public|lead,reviewed source policy,authorized import administrator,imports and auditors,no,permanent while referenced,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.source_catalog,storage_policy,text,no,'normalized_only',"Controls retention of references, normalized fields, or permitted raw metadata.",reference_only|normalized_only|raw_metadata_permitted,reviewed source policy,authorized import administrator,imports and auditors,no,permanent while referenced,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.source_catalog,source_license,text,yes,,Source licence or reuse terms when known.,CHECK/FK/length rules in migration,reviewed source policy,authorized import administrator,imports and auditors,no,permanent while referenced,length/value CHECK,20260803042525_normalized_elepem_core_model
elepem_core.source_catalog,active,boolean,no,true,Retires a source definition without deletion.,true|false,reviewed source policy,authorized import administrator,imports and auditors,no,permanent while referenced,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
elepem_core.source_catalog,created_at,timestamptz,no,now(),Row creation timestamp.,timezone-aware timestamp,reviewed source policy,authorized import administrator,imports and auditors,no,permanent while referenced,CHECK/index in forward migration,20260803042525_normalized_elepem_core_model
